typeId,typeName,date,percent
1,Ozone,2016-06-01,53.85
1,Ozone,2016-06-02,61.06
1,Ozone,2016-06-03,46.63
1,Ozone,2016-06-04,-1.44
1,Ozone,2016-06-05,85.10
1,Ozone,2016-06-06,61.06
1,Ozone,2016-06-07,49.04
1,Ozone,2016-06-08,49.04
1,Ozone,2016-06-09,32.21
1,Ozone,2016-06-10,61.06
1,Ozone,2016-06-11,53.85
1,Ozone,2016-06-12,22.60
1,Ozone,2016-06-13,12.98
1,Ozone,2016-06-14,8.17
1,Ozone,2016-06-15,-15.87
1,Ozone,2016-06-16,12.98
1,Ozone,2016-06-17,0.96
1,Ozone,2016-06-18,27.40
1,Ozone,2016-06-19,-30.29
1,Ozone,2016-06-20,-25.48
1,Ozone,2016-06-21,3.37
1,Ozone,2016-06-22,-8.65
1,Ozone,2016-06-23,-13.46
1,Ozone,2016-06-24,10.58
1,Ozone,2016-06-25,0.96
1,Ozone,2016-06-26,-15.87
1,Ozone,2016-06-27,8.17
1,Ozone,2016-06-28,-6.25
1,Ozone,2016-06-29,0.96
1,Ozone,2016-06-30,-6.25
1,Ozone,2016-07-01,25.00
1,Ozone,2016-07-02,5.77
1,Ozone,2016-07-03,-6.25
1,Ozone,2016-07-04,-32.69
1,Ozone,2016-07-05,25.00
1,Ozone,2016-07-06,20.19
1,Ozone,2016-07-07,-8.65
1,Ozone,2016-07-08,-1.44
1,Ozone,2016-07-09,-42.31
1,Ozone,2016-07-10,3.37
1,Ozone,2016-07-11,29.81
1,Ozone,2016-07-12,0.96
1,Ozone,2016-07-13,-13.46
1,Ozone,2016-07-14,5.77
1,Ozone,2016-07-15,-6.25
1,Ozone,2016-07-16,5.77
1,Ozone,2016-07-17,-20.67
1,Ozone,2016-07-18,-35.10
1,Ozone,2016-07-19,68.27
1,Ozone,2016-07-20,37.02
1,Ozone,2016-07-21,-13.46
1,Ozone,2016-07-22,-25.48
1,Ozone,2016-07-23,-6.25
1,Ozone,2016-07-24,-6.25
1,Ozone,2016-07-25,-18.27
1,Ozone,2016-07-26,-15.87
1,Ozone,2016-07-27,-13.46
1,Ozone,2016-07-28,-27.88
1,Ozone,2016-07-29,-13.46
1,Ozone,2016-07-30,-6.25
1,Ozone,2016-07-31,3.37
1,Ozone,2016-08-01,0.00
1,Ozone,2016-08-02,0.00
1,Ozone,2016-08-03,8.17
1,Ozone,2016-08-04,25.00
1,Ozone,2016-08-05,-13.46
1,Ozone,2016-08-06,-32.69
1,Ozone,2016-08-07,27.40
1,Ozone,2016-08-08,17.79
1,Ozone,2016-08-09,22.60
1,Ozone,2016-08-10,-1.44
1,Ozone,2016-08-11,0.96
1,Ozone,2016-08-12,10.58
1,Ozone,2016-08-13,0.96
1,Ozone,2016-08-14,-25.48
1,Ozone,2016-08-15,32.21
1,Ozone,2016-08-16,61.06
1,Ozone,2016-08-17,73.08
1,Ozone,2016-08-18,89.90
1,Ozone,2016-08-19,37.02
1,Ozone,2016-08-20,58.65
1,Ozone,2016-08-21,32.21
1,Ozone,2016-08-22,-8.65
1,Ozone,2016-08-23,34.62
1,Ozone,2016-08-24,3.37
1,Ozone,2016-08-25,-37.50
1,Ozone,2016-08-26,-18.27
1,Ozone,2016-08-27,-35.10
1,Ozone,2016-08-28,10.58
1,Ozone,2016-08-29,29.81
1,Ozone,2016-08-30,-6.25
1,Ozone,2016-08-31,-1.44
1,Ozone,2016-09-01,-8.65
1,Ozone,2016-09-02,-8.65
1,Ozone,2016-09-03,-27.88
1,Ozone,2016-09-04,22.60
1,Ozone,2016-09-05,-30.29
1,Ozone,2016-09-06,-56.73
1,Ozone,2016-09-07,0.00
1,Ozone,2016-09-08,0.00
1,Ozone,2016-09-09,3.37
1,Ozone,2016-09-10,-13.46
1,Ozone,2016-09-11,-1.44
1,Ozone,2016-09-12,-11.06
1,Ozone,2016-09-13,-44.71
1,Ozone,2016-09-14,17.79
1,Ozone,2016-09-15,-37.50
1,Ozone,2016-09-16,-6.25
1,Ozone,2016-09-17,-32.69
1,Ozone,2016-09-18,-15.87
1,Ozone,2016-09-19,-27.88
1,Ozone,2016-09-20,-44.71
1,Ozone,2016-09-21,-18.27
1,Ozone,2016-09-22,5.77
1,Ozone,2016-09-23,3.37
1,Ozone,2016-09-24,41.83
1,Ozone,2016-09-25,46.63
1,Ozone,2016-09-26,3.37
1,Ozone,2016-09-27,0.96
1,Ozone,2016-09-28,-8.65
1,Ozone,2016-09-29,10.58
1,Ozone,2016-09-30,-3.85
1,Ozone,2016-10-01,5.77
1,Ozone,2016-10-02,-25.48
1,Ozone,2016-10-03,-25.48
1,Ozone,2016-10-04,-18.27
1,Ozone,2016-10-05,-6.25
1,Ozone,2016-10-06,-11.06
1,Ozone,2016-10-07,-47.12
1,Ozone,2016-10-08,-15.87
1,Ozone,2016-10-09,0.96
1,Ozone,2016-10-10,-39.90
1,Ozone,2016-10-11,-42.31
1,Ozone,2016-10-12,-25.48
1,Ozone,2016-10-13,-54.33
1,Ozone,2016-10-14,-78.37
1,Ozone,2016-10-15,-15.87
1,Ozone,2016-10-16,49.04
1,Ozone,2016-10-17,34.62
1,Ozone,2016-10-18,15.38
1,Ozone,2016-10-19,-35.10
1,Ozone,2016-10-20,-56.73
1,Ozone,2016-10-21,-80.77
1,Ozone,2016-10-22,-63.94
1,Ozone,2016-10-23,-6.25
1,Ozone,2016-10-24,-61.54
1,Ozone,2016-10-25,-80.77
1,Ozone,2016-10-26,-59.13
1,Ozone,2016-10-27,-6.25
1,Ozone,2016-10-28,8.17
1,Ozone,2016-10-29,-47.12
1,Ozone,2016-10-30,-39.90
1,Ozone,2016-10-31,0.00
1,Ozone,2016-11-01,0.00
1,Ozone,2016-11-02,0.00
1,Ozone,2016-11-03,-75.96
1,Ozone,2016-11-04,-61.54
1,Ozone,2016-11-05,-44.71
1,Ozone,2016-11-06,-25.48
1,Ozone,2016-11-07,-32.69
1,Ozone,2016-11-08,-42.31
1,Ozone,2016-11-09,-1.44
1,Ozone,2016-11-10,-20.67
1,Ozone,2016-11-11,-39.90
1,Ozone,2016-11-12,-13.46
1,Ozone,2016-11-13,-39.90
1,Ozone,2016-11-14,8.17
1,Ozone,2016-11-15,-3.85
1,Ozone,2016-11-16,3.37
1,Ozone,2016-11-17,17.79
1,Ozone,2016-11-18,-49.52
1,Ozone,2016-11-19,-49.52
1,Ozone,2016-11-20,-6.25
1,Ozone,2016-11-21,-37.50
1,Ozone,2016-11-22,-56.73
1,Ozone,2016-11-23,-37.50
1,Ozone,2016-11-24,22.60
1,Ozone,2016-11-25,12.98
1,Ozone,2016-11-26,-13.46
1,Ozone,2016-11-27,-18.27
1,Ozone,2016-11-28,-18.27
1,Ozone,2016-11-29,-63.94
1,Ozone,2016-11-30,-92.79
1,Ozone,2016-12-01,-95.19
1,Ozone,2016-12-02,-97.60
1,Ozone,2016-12-03,-39.90
1,Ozone,2016-12-04,-30.29
1,Ozone,2016-12-05,-85.58
1,Ozone,2016-12-06,-85.58
1,Ozone,2016-12-07,-49.52
1,Ozone,2016-12-08,-30.29
1,Ozone,2016-12-09,-44.71
1,Ozone,2016-12-10,-32.69
1,Ozone,2016-12-11,-61.54
